CALIFORNIA			
Individual Income Tax Returns:  Selected Income and Tax Items by State,  ZIP Code, and Size of Adjusted Gross Income,  Tax Year 2012                                                                                                                                                                                                                                                                                                                                                                                                           			
[Money amounts are in thousands of dollars]			
ZIP code [1]	Size of adjusted gross income	Number of returns	Adjusted gross income (AGI)
94124	$100,000 under $200,000	850	110476
94124	$200,000 or more	160	54111
			
94127		10,200	1,621,338
94127	$1 under $25,000	2280	24760
94127	$25,000 under $50,000	1420	52879
94127	$50,000 under $75,000	1200	73987
94127	$75,000 under $100,000	930	81117
94127	$100,000 under $200,000	2210	317003
94127	$200,000 or more	2160	1071592
			
94129		1,800	526,954
94129	$1 under $25,000	370	4565
94129	$25,000 under $50,000	350	13239
94129	$50,000 under $75,000	290	18070
94129	$75,000 under $100,000	170	14350
94129	$100,000 under $200,000	330	46673
94129	$200,000 or more	290	430057
			
94130		990	33,074
94130	$1 under $25,000	530	6308
94130	$25,000 under $50,000	280	10260
94130	$50,000 under $75,000	80	4625
94130	$75,000 under $100,000	40	3203
94130	$100,000 under $200,000	60	8678
94130	$200,000 or more	**	**
			
94131		15,930	2,169,772
94131	$1 under $25,000	3100	37682
94131	$25,000 under $50,000	2730	102359
94131	$50,000 under $75,000	2290	141469
94131	$75,000 under $100,000	1820	158046
94131	$100,000 under $200,000	3530	491980
94131	$200,000 or more	2460	1238236
			
94132		12,610	850,776
94132	$1 under $25,000	4520	52499
94132	$25,000 under $50,000	2690	99033
94132	$50,000 under $75,000	1780	109649
94132	$75,000 under $100,000	1160	100208
94132	$100,000 under $200,000	1790	245161
94132	$200,000 or more	670	244226
			
94133		14,170	1,528,070
94133	$1 under $25,000	4790	58804
94133	$25,000 under $50,000	2910	107239
94133	$50,000 under $75,000	2110	130088
94133	$75,000 under $100,000	1250	108190
94133	$100,000 under $200,000	1960	270772
94133	$200,000 or more	1150	852977
			
94134		20,650	929,088
94134	$1 under $25,000	8810	110558
94134	$25,000 under $50,000	5520	199551
94134	$50,000 under $75,000	2860	174795
94134	$75,000 under $100,000	1490	128599
94134	$100,000 under $200,000	1670	223926
94134	$200,000 or more	300	91659
			
94158		2,580	597,111
94158	$1 under $25,000	350	4326
94158	$25,000 under $50,000	480	17530
94158	$50,000 under $75,000	320	19539
94158	$75,000 under $100,000	240	20812
94158	$100,000 under $200,000	670	94232
94158	$200,000 or more	520	440672
			
94301		8,490	8,161,709
94301	$1 under $25,000	1630	16811
94301	$25,000 under $50,000	990	36776
94301	$50,000 under $75,000	820	50816
94301	$75,000 under $100,000	650	56586
94301	$100,000 under $200,000	1670	240747
94301	$200,000 or more	2730	7759973
			
94303		20,600	3,951,495
94303	$1 under $25,000	7350	93486
94303	$25,000 under $50,000	4810	173002
94303	$50,000 under $75,000	2240	136405
94303	$75,000 under $100,000	1180	101918
94303	$100,000 under $200,000	2260	320706
94303	$200,000 or more	2760	3125978
			
94304		1,950	848,809
94304	$1 under $25,000	200	2141
94304	$25,000 under $50,000	200	7793
94304	$50,000 under $75,000	260	15818
94304	$75,000 under $100,000	180	15936
94304	$100,000 under $200,000	520	74685
94304	$200,000 or more	590	732436
			
94305		2,800	477,338
94305	$1 under $25,000	680	7337
94305	$25,000 under $50,000	750	26531
94305	$50,000 under $75,000	200	11975
94305	$75,000 under $100,000	140	12071
94305	$100,000 under $200,000	340	49568
94305	$200,000 or more	690	369856
			
94306		13,040	2,783,410
94306	$1 under $25,000	2890	30017
94306	$25,000 under $50,000	1900	70630
94306	$50,000 under $75,000	1360	84323
